lat,lng,property_name
13.6897686,100.6067808,Whizdom The Exclusive 
13.7376873,100.5533109,Omni Tower Sukhumvit Nana 
13.7351805,100.553462,Crystal Garden 
13.7227439,100.5020415,Tourmaline Gold Sathorn-Taksin 
13.7260647,100.5691871,Regent On The Park 1 
13.7558019,100.532416,Ideo Q Phayathai 
13.7258617,100.5372361,The Royal Saladaeng 
13.8119573,100.5724386,The Origin Ladprao 15 
13.6791775,100.5277887,Lumpini Park Riverside Rama 3 
13.7611375,100.6169092,Lumpini Condo Town Bodindecha - Ramkhamhaeng 
13.8456067,100.5424463,Lumpini Ville Prachachuen-Phongphet 2 
13.7228553,100.5057084,Q House Sathorn 
13.749152,100.5268027,The Reserve - Kasemsan 3 
13.7350685,100.5441258,Muniq Langsuan 
13.742877,100.558266,Cloud Residences SKV23 
13.71243,100.4310821,The LIVIN Phetkasem 
13.7380459,100.6451813,U Delight at Huamak Station 
13.7382636,100.5434503,Baan Sindhorn 
13.8031,100.5694374,SYM Vibha-Ladprao 
13.7505268,100.5647743,Life Asoke 
13.7463342,100.5495316,The Nest Ploenchit 
46.0036778,8.951051999999999,Lugano Ladprao 18 
13.7623641,100.4719031,Ideo Mobi Charan Interchange 
13.7401073,100.5726626,Quintara MHy’ZEN Phrom Phong 
13.7228904,100.5360792,Urbana Sathorn 
13.775989,100.5418475,Villa Rachakhru 
13.7348476,100.5283725,Triple Y Residence 
13.7889646,100.5056963,My Resort at River 
13.6914967,100.4806251,Lumpini Place Suksawat - Rama 2 
13.6967683,100.5441358,The Star Estate at Rama 3 
13.8940605,100.6130208,Plum Condo Saphanmai Station 
13.8284241,100.5919156,MITI Condo Ladprao-Wanghin 
13.6620737,100.4442047,Unio Rama 2 - Thakham 
13.7198011,100.543675,Baan Preuksasiri Suanplu 
13.7235924,100.5814494,Culture Thonglor 
13.7841713,100.5712747,Metro Sky Ratchada 
13.6759381,100.516683,Nue Riverest Ratburana 
13.7379326,100.5840693,AESTIQ Thonglor 
13.7974069,100.5646865,Prasertsuk Place 
13.7727781,100.5800942,U Delight at Huay Kwang Station 
13.8201492,100.5841919,Prompto Condo Ratchada 32 
13.9271835,100.5831102,Happy Condo Laksi-Donmuang 
13.7786718,100.5273428,Supavadee Tower 
13.7356367,100.5577985,Circle rein Sukhumvit 12 
13.7353925,100.5392841,185 Rajadamri 
13.8183518,100.535954,Supalai Veranda Ratchavipha - Prachachuen 
13.7594567,100.5317072,The Address Phayathai 
13.7237462,100.5235033,The Treasure Silom 
13.73916,100.447973,Dcondo Campus Resort Ratchapruek-Charan 13 
13.7228553,100.5057084,The River by Raimon Land 
13.72266,100.5660665,The Lumpini 24 
13.8146274,100.6216479,Noble Create 
13.747801,100.557279,Beverly Tower Condo 
13.6819936,100.6230419,IKON Udomsuk 
13.7454902,100.5455543,New House Condo 
13.7399712,100.6442666,Bliz Condominium Rama 9 - Hua Mak 
13.7218367,100.49796,Nye by Sansiri 
13.727973,100.5607914,Voque Sukhumvit 16 
13.754429,100.5641084,Rhythm Asoke 
13.71272,100.4994261,Master View Executive Place 
13.7486926,100.5492755,Wittayu Complex 
13.7810329,100.5411494,The Fine by Fine Home Ari 4 
