lat,lng,property_name,trainstation_name,trainstation_lat,trainstation_lng,subway_station_name,subway_station_lat,subway_station_lng,subway_station_distance_meter,train_station_distance_meter
13.7726496,100.4775952,Ratanakosin Island,Jaran Sanitwong,13.7633685,100.4724368,Bang Yi Khan,13.7774358,100.4852436,1238,1700
13.7286497,100.4529079,Ratchapruek Condo,Talat Phlu,13.7208644,100.4780029,Bang Wa,13.7203785,100.4571807,1137,3599
13.7074192,100.5266705,The Room Sathorn-St.Louis,Silom MRT Station,13.7293606,100.5378782,N/A,"","",null,3724
13.8456344,100.5645427,The Selected Kaset-Ngam Wongwan,Bang Khen,13.8469567,100.5607095,Bang Bua,13.855994,100.585171,4189,549
13.7493335,100.5434243,Manhattan Chidlom,Makkasan,13.7536699,100.547394,Chit Lom,13.7440937,100.5430647,829,772
13.7579062,100.7940923,V Condo Lat Krabang,Hua Takhe,13.7282555,100.7828678,N/A,"","",null,4565
13.7542839,100.5751263,TC Green Rama 9,Asoke,13.749458,100.5638356,Phra Ram 9,13.7579217,100.5655678,1426,1935
13.7387665,100.5870911,DLV Thonglor 20,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,2163,1015
13.8412064,100.5871886,Metro Luxe Kaset,Bang Khen,13.8469567,100.5607095,Bang Bua,13.855994,100.585171,2511,5462
13.6756714,100.6379626,I CONDO Sukhumvit 103,Hua Mak,13.7381496,100.6401853,N/A,"","",null,8106
13.806292,100.600252,J.W. Suite,Sutthisan MRT Station,13.7898476,100.5741786,N/A,"","",null,4727
13.7865584,100.5552112,Paholyothin Park,Sutthisan MRT Station,13.7898476,100.5741786,Saphan Khwai BTS Station,13.7937663,100.5497095,1708,3084
13.6910654,100.614025,Siamese Sukhumvit 87,Hua Mak,13.7381496,100.6401853,Punnawithi,13.689267,100.608987,944,8522
13.7128516,100.5942398,Wyne Sukhumvit,Sukhumvit 71,13.7429334,100.6004022,Phra Khanong,13.7151737,100.5912598,424,4658
13.7433748,100.5585098,Wattana Suite,Makkasan,13.7508355,100.5613375,Nana,13.740523,100.555434,779,1920
13.7241058,100.5321855,Silom City Resort,Silom MRT Station,13.7293606,100.5378782,Sala Daeng BTS Station,13.7284782,100.5341135,1164,1253
13.7231422,100.5203031,Jewelry Trade Center,Bangkok Train Station,13.7393362,100.5167954,Surasak,13.719228,100.5215297,813,2100
13.8198451,100.6626237,Chambers Ramintra,หจก.โชคพัฒนายุทธ,13.759029,100.616322,N/A,"","",null,11016
13.8607302,100.7111334,Burasiri Panyaindra,Talatmai Don Muang,13.9144167,100.5978652,N/A,"","",null,21685
13.7065175,100.5995047,Rhythm Sukhumvit 50,Sukhumvit 71,13.7429334,100.6004022,On Nut,13.7056546,100.6010035,214,5695
13.7199501,100.539443,The Seed Mingle,Silom MRT Station,13.7293606,100.5378782,Lumphini,13.7257642,100.5456664,1940,1898
13.8410359,100.5892495,iCondo Kaset-Nawamin,Bang Khen,13.8469567,100.5607095,Bang Bua,13.855994,100.585171,2146,5631
13.8222977,100.535829,Metro Sky Prachachuen,Nikhom Rotphai Khomo Sip-Et,13.82445,100.54854,Bang Son,13.8202164,100.5325217,562,3074
13.7004048,100.6452083,The Trio Garden,Hua Mak,13.73805,100.6454302,N/A,"","",null,5057
13.7166838,100.4761926,Regent Orchid TalatPhlu,Talat Phlu,13.7208644,100.4780029,Talat Phlu,13.7142104,100.4768237,294,675
13.8873958,100.5689948,Lak Si National Housing,Lak Si,13.8836546,100.5807382,N/A,"","",null,1868
13.7670265,100.5787879,Supalai Wellington,Asoke,13.749458,100.5638356,Thailand Cultural Centre,13.7663,100.57026,1242,3286
13.725694,100.5707135,Condolette Dwell Sukhumvit 26,Mae Nam Railway Station,13.7139353,100.5536168,Phrom Phong,13.73042,100.5697,745,3175
13.7537736,100.4666033,Supalai Loft Yaek Fai Chai station,Jaran Sanitwong,13.7633685,100.4724368,Fai Chai,13.7550791,100.4692286,438,2421
